step;validation_loss;optimizer
90000;2.8522677421569824;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
91000;2.864009141921997;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
92000;2.8675148487091064;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
93000;2.8503472805023193;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
94000;2.848231554031372;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
95000;2.85329008102417;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
96000;2.858139753341675;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
97000;2.860875129699707;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
98000;2.8455262184143066;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
99000;2.846618890762329;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
100000;2.853754997253418;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
